layer,avg_cosine_similarity
0,0.24801790059083423
1,0.32898801296719044
2,0.312518346051658
3,0.34838764504588854
4,0.3712806461325502
5,0.3419495607814553
6,0.3364632166197997
7,0.3348326407622663
8,0.34785084108845354
9,0.3751927631077214
10,0.4136995113698188
11,0.41290822687004314
12,0.4304898132723794
13,0.45163346434194346
14,0.47245150848291617
15,0.4629952347144689
16,0.4018317354556523
17,0.4301994518850913
18,0.43867669511595875
19,0.4138665962282383
20,0.42644842581656617
21,0.47289412176962703
22,0.5273568248961928
23,0.5494452829722437
24,0.6215299280935002
25,0.6748009673149686
26,0.7147515121632103
27,0.43715111009110064
