layer,intrinsic_dimension
0,3.821728242478942
1,4.712525503152184
2,5.486870764397488
3,6.226915608156788
4,6.6438487928343
5,6.838914659856502
6,7.319159762713838
7,7.98372303817936
8,8.35414961258558
9,8.366021897983176
10,8.967837393061002
11,8.689325019711255
12,9.11199422028991
13,9.92520316045062
14,9.9580576814913
15,10.278514455008697
16,9.43183267039855
17,9.685058840263654
18,9.422807397642638
19,8.941249821931665
20,8.35380433000072
21,8.009574803851823
22,7.87553471410139
23,7.77940488136153
24,7.7684518184000515
25,7.711021212801957
26,7.659566129898291
27,7.37505040381865
