layer,q,k,v,o
0,0.7582544684410095,0.8714668154716492,0.924883246421814,0.8698310852050781
1,0.7212039828300476,0.8542957305908203,0.8977938890457153,0.7419118285179138
2,0.6999471187591553,0.8356599807739258,0.8805242776870728,0.7336568832397461
3,0.7175959348678589,0.840263843536377,0.8988304734230042,0.7492929697036743
4,0.7203921675682068,0.836993932723999,0.9021444916725159,0.7486112117767334
5,0.722018837928772,0.8451247215270996,0.9045916199684143,0.7749071717262268
6,0.6614360213279724,0.7870201468467712,0.8945124745368958,0.7523493766784668
7,0.704711377620697,0.8382848501205444,0.9007638096809387,0.7424405813217163
8,0.6871024966239929,0.8131008744239807,0.8723790049552917,0.734706461429596
9,0.6973811984062195,0.8271070122718811,0.8906453847885132,0.7231755256652832
10,0.7073221206665039,0.828877329826355,0.8884066343307495,0.7393056154251099
11,0.6453139781951904,0.7957764863967896,0.8680610060691833,0.7230034470558167
12,0.6860643625259399,0.8023349642753601,0.8440784215927124,0.7281370759010315
13,0.6411909461021423,0.7963683009147644,0.8615172505378723,0.715957760810852
14,0.6514491438865662,0.7881742119789124,0.8580508828163147,0.705214262008667
15,0.6559649109840393,0.8081536293029785,0.884634256362915,0.7117542624473572
16,0.6255555152893066,0.783679723739624,0.8779014945030212,0.7142371535301208
17,0.63640296459198,0.7942854762077332,0.8793351650238037,0.701905369758606
18,0.6464522480964661,0.8071915507316589,0.8860755562782288,0.7357754111289978
19,0.6328222155570984,0.8127310872077942,0.8740282654762268,0.7131872773170471
20,0.6460190415382385,0.8140509724617004,0.8815131783485413,0.7477649450302124
21,0.6453733444213867,0.773221492767334,0.8270793557167053,0.7090067863464355
22,0.6701551079750061,0.8051959872245789,0.8832513093948364,0.7422600388526917
23,0.6953215599060059,0.8379579782485962,0.8880220651626587,0.7687913775444031
24,0.6621476411819458,0.7973185777664185,0.8632772564888,0.7737935781478882
25,0.6568180918693542,0.7958641648292542,0.8578774333000183,0.7623046636581421
26,0.6541211009025574,0.8024164438247681,0.8586643934249878,0.7550818920135498
27,0.756879985332489,0.8871591091156006,0.9229685664176941,0.7769162058830261
