layer,q,k,v,o
0,0.7294921875,0.875,0.90234375,0.83056640625
1,0.70458984375,0.8671875,0.90625,0.71630859375
2,0.677734375,0.83203125,0.888671875,0.70947265625
3,0.69775390625,0.8369140625,0.9033203125,0.72314453125
4,0.6982421875,0.8310546875,0.8994140625,0.716796875
5,0.6982421875,0.845703125,0.9091796875,0.7421875
6,0.64111328125,0.775390625,0.8955078125,0.720703125
7,0.68701171875,0.84765625,0.904296875,0.71533203125
8,0.67041015625,0.828125,0.884765625,0.7109375
9,0.68115234375,0.8388671875,0.8994140625,0.69580078125
10,0.6904296875,0.841796875,0.8916015625,0.708984375
11,0.625,0.7919921875,0.869140625,0.69384765625
12,0.66845703125,0.8134765625,0.86328125,0.7021484375
13,0.63037109375,0.80859375,0.8740234375,0.68896484375
14,0.63427734375,0.798828125,0.865234375,0.67822265625
15,0.64453125,0.8232421875,0.890625,0.6865234375
16,0.61279296875,0.798828125,0.880859375,0.68505859375
17,0.623046875,0.814453125,0.873046875,0.6689453125
18,0.630859375,0.810546875,0.8837890625,0.70849609375
19,0.615234375,0.8232421875,0.86328125,0.68310546875
20,0.63427734375,0.828125,0.8837890625,0.71630859375
21,0.6240234375,0.771484375,0.826171875,0.68310546875
22,0.64892578125,0.81640625,0.884765625,0.71044921875
23,0.67431640625,0.8427734375,0.88671875,0.7353515625
24,0.6416015625,0.7919921875,0.865234375,0.73876953125
25,0.63623046875,0.791015625,0.8720703125,0.72802734375
26,0.6240234375,0.798828125,0.8759765625,0.7255859375
27,0.73095703125,0.8916015625,0.91796875,0.7431640625
