layer,log_eig_mean
0,-2.3177008546284865
1,-2.233625979817915
2,-1.9844900591125827
3,-2.0324341966761246
4,-2.0573797766383133
5,-1.9219515144159918
6,-1.860151282248032
7,-1.8238605480972323
8,-1.8083001835750134
9,-1.885180498631862
10,-2.0022888478017045
11,-2.0583642902733854
12,-2.025156419943435
13,-1.984048513121646
14,-1.895101900610518
15,-1.8509318753315802
16,-1.9440984183753227
17,-1.9505513117201145
18,-2.0049617239317823
19,-1.992163166542352
20,-2.0827620789116037
21,-2.1737146301548234
22,-2.292835194781258
23,-2.373845545992096
24,-2.563762564897777
25,-2.735613324089403
26,-3.046790911264229
27,-3.1523069646514617
