layer,slope_k,intercept_logc,r2
0,-0.6683924146883808,3.4493066630113067,0.9647299499904304
1,-0.6153744349787312,3.079954264653215,0.951433588140079
2,-0.5895027837265209,3.031795276990032,0.9439988756590283
3,-0.6018052672620431,3.017851613605942,0.9476150492007761
4,-0.5972678571291208,2.991827037217982,0.946298598134315
5,-0.5664430530313537,2.8642049214276026,0.9368123467975724
6,-0.5506253847349022,2.804348672294378,0.9315633470017957
7,-0.5409750243250745,2.757981274563108,0.9282286233003768
8,-0.5099228728697403,2.5663061209728006,0.9167877676154329
9,-0.5316977263153264,2.6662190610423075,0.9249257613865649
10,-0.5827131455882949,2.8445397232052794,0.9419389627307971
11,-0.5895342882313048,2.9363681755461473,0.9440083265336083
12,-0.6043024290722239,2.9915016908018575,0.948331034622465
13,-0.5861631872889116,2.872864782665973,0.9429914396416501
14,-0.5026229596776555,2.406767672356208,0.9139346658063301
15,-0.49976237571607035,2.392044400934768,0.9127990817366527
16,-0.4917239850731246,2.466138928140711,0.9095543140959625
17,-0.4847994635098118,2.363848969405553,0.9066946758797618
18,-0.4857367157778396,2.331177192229826,0.9070852704322379
19,-0.49914046493051517,2.4539203290683487,0.9125508782203884
20,-0.5146857137400975,2.5123444751664605,0.91861500803249
21,-0.5359682457605224,2.5964075618111786,0.9264580838128332
22,-0.5722731882844254,2.7258587523973947,0.9386806632768602
23,-0.579316745706157,2.715555844619997,0.94089112842936
24,-0.5910881110850112,2.62777356077181,0.9444732271028102
25,-0.5752925597580659,2.3785647844183213,0.9396344447324321
26,-0.6296675603428413,2.4332635726840266,0.9552681597889499
27,-1.3556316988511399,6.49737833797476,0.9633323730983707
