layer,avg_cosine_similarity
0,0.39723064887887005
1,0.41629359442526975
2,0.40471883327516023
3,0.35723006789356
4,0.3688321596875237
5,0.38192897675446547
6,0.3187323701724086
7,0.27649111587879566
8,0.2326677331878388
9,0.22334185827318023
10,0.269810627545352
11,0.27589228636455937
12,0.3035373836969785
13,0.2926825034655931
14,0.33403503114422894
15,0.3380288485168467
16,0.3808458317503428
17,0.3879996209121798
18,0.3903453317904308
19,0.4137308040712604
20,0.4014817313875062
21,0.39609432585816273
22,0.38538436670916393
23,0.3888308295691361
24,0.4240189373934564
25,0.4213761602706999
26,0.4381573404050723
27,0.4351889303346863
28,0.4237036873436931
29,0.43553889991593875
30,0.4659559013628315
31,0.48725677341915674
32,0.49732615171858424
33,0.5304947859079261
34,0.6419785972238983
35,0.46018369684881133
