layer,log_eig_mean
0,-1.9312831003298043
1,-1.7585665598294935
2,-1.6449547926057377
3,-1.4934399113010677
4,-1.4711361432066115
5,-1.4730262283701914
6,-1.2919808916261628
7,-1.177453522654664
8,-1.0922504416065582
9,-1.2134706495418524
10,-1.428422451551705
11,-1.4632282726426746
12,-1.5450213872886345
13,-1.516034262846687
14,-1.6497303397802567
15,-1.6003960365802399
16,-1.7284981113153015
17,-1.7344923807834192
18,-1.7021982192282858
19,-1.7208868287350119
20,-1.6607702365614447
21,-1.6111281889506528
22,-1.6671071947879401
23,-1.6310633689986898
24,-1.7200678279733648
25,-1.6329937505611394
26,-1.5975192475717914
27,-1.560932939657781
28,-1.5182630559286099
29,-1.4966537511546254
30,-1.5241082045295695
31,-1.5236663754536244
32,-1.5064153291842022
33,-1.5326112192725507
34,-1.8014835297393437
35,-1.7350484045695285
