layer,intrinsic_dimension
0,4.703210702626934
1,5.417592033745347
2,6.442820148871659
3,6.86889700864645
4,7.041489137284235
5,7.030634571110036
6,6.83109230858849
7,7.080271512858255
8,7.506320497504419
9,7.764785322166203
10,8.040586382717317
11,8.38977456901475
12,8.667183332731545
13,9.003649625575099
14,9.479960607736198
15,10.131322224128436
16,10.404463638031153
17,10.656306443553307
18,10.978160486456234
19,11.254405344010348
20,11.3008358071399
21,11.272047981700554
22,10.704460445314165
23,9.983637120464854
24,9.12507608851612
25,8.79298129928162
26,8.536587849363231
27,8.25500223660046
28,8.06310982905768
29,7.829266690107201
30,7.5811527980837194
31,7.456650412810817
32,7.480790986002768
33,7.516855142253014
34,7.512475515642911
35,7.548293376384387
