layer,q,k,v,o
0,0.6884765625,0.8955078125,0.921875,0.688720703125
1,0.65478515625,0.904296875,0.9306640625,0.71044921875
2,0.6962890625,0.927734375,0.9345703125,0.711669921875
3,0.684814453125,0.919921875,0.9306640625,0.706787109375
4,0.708740234375,0.9306640625,0.9482421875,0.724365234375
5,0.70361328125,0.8896484375,0.9267578125,0.711669921875
6,0.71142578125,0.9365234375,0.951171875,0.723388671875
7,0.699951171875,0.9208984375,0.9365234375,0.715087890625
8,0.7041015625,0.921875,0.9482421875,0.721923828125
9,0.6943359375,0.9169921875,0.931640625,0.70361328125
10,0.7021484375,0.912109375,0.9521484375,0.70849609375
11,0.69921875,0.9072265625,0.9384765625,0.718017578125
12,0.6953125,0.9111328125,0.9404296875,0.7109375
13,0.679931640625,0.892578125,0.92578125,0.70947265625
14,0.697265625,0.9033203125,0.9375,0.71484375
15,0.65771484375,0.87109375,0.931640625,0.695068359375
16,0.68017578125,0.8759765625,0.9306640625,0.70166015625
17,0.67822265625,0.88671875,0.94140625,0.7099609375
18,0.677978515625,0.8662109375,0.931640625,0.692626953125
19,0.675048828125,0.8759765625,0.9404296875,0.698974609375
20,0.659423828125,0.8740234375,0.9365234375,0.7060546875
21,0.6748046875,0.890625,0.9306640625,0.706298828125
22,0.674072265625,0.876953125,0.9599609375,0.682373046875
23,0.677001953125,0.900390625,0.94921875,0.712890625
24,0.669677734375,0.876953125,0.9365234375,0.705322265625
25,0.7158203125,0.919921875,0.9580078125,0.738525390625
26,0.706298828125,0.908203125,0.9453125,0.735595703125
27,0.714111328125,0.900390625,0.951171875,0.732177734375
28,0.713134765625,0.9111328125,0.9404296875,0.731689453125
29,0.697265625,0.8837890625,0.916015625,0.733154296875
30,0.726318359375,0.912109375,0.9482421875,0.743408203125
31,0.715576171875,0.8935546875,0.9384765625,0.739013671875
32,0.714599609375,0.884765625,0.93359375,0.734130859375
33,0.67822265625,0.8525390625,0.9111328125,0.736083984375
34,0.6962890625,0.865234375,0.9404296875,0.7197265625
35,0.73779296875,0.921875,0.9521484375,0.730224609375
