layer,log_eig_mean
0,-11.523124230130216
1,-11.504605860607878
2,-11.484669305978302
3,-11.468188896268952
4,-11.473663256070605
5,-11.458813733170294
6,-11.402034631980591
7,-11.363601332914907
8,-11.337931051734435
9,-11.33428879552654
10,-11.348042719425571
11,-11.346676703331525
12,-11.355403905880765
13,-11.340689900333686
14,-11.351716671108417
15,-11.344282706473697
16,-11.3584117180102
17,-11.357736807748672
18,-11.351021262356033
19,-11.357882308059034
20,-11.349728401903343
21,-11.342095740945789
22,-11.352351993524113
23,-11.349276234238811
24,-11.353449393312312
25,-11.352434327280642
26,-11.356899087944246
27,-11.354594554741693
28,-11.357532446312401
29,-11.362510747750333
30,-11.375397255882305
31,-11.384781861739453
32,-11.395706042024988
33,-11.410805876517863
34,-11.505071621093443
35,-11.507510514319367
