layer,log_eig_mean
0,-2.585078383025884
1,-2.766983148745213
2,-2.816454370343268
3,-2.79174281218775
4,-2.7227334996893595
5,-2.646559403452353
6,-2.5775185519542125
7,-2.5141687119369243
8,-2.455378333269026
9,-2.393786447518324
10,-2.340528864624689
11,-2.2833588362767254
12,-2.2480021940941795
13,-2.209249496877281
14,-2.175179894571158
15,-2.153255855583822
16,-2.121699780268718
17,-2.0920459747679963
18,-2.0801965872042407
19,-2.0780118046107168
20,-2.0737282083534794
21,-2.078143005012754
22,-2.0752871247084386
23,-2.0732589418711314
24,-2.0819461686865353
25,-2.0881807954599805
26,-2.1052194207396893
27,-2.1351851612773105
28,-2.1604774266618034
29,-2.1920951844106193
30,-2.229209661072536
31,-2.2947044961618888
32,-2.4613918668528525
33,-2.673426023613548
34,-2.8420353946301615
35,-1.9268818505633658
