layer,q,k,v,o
0,0.6848958333333334,0.65625,0.70703125,0.3736979166666667
1,0.5494791666666666,0.59375,0.703125,0.6263020833333334
2,0.6341145833333334,0.6614583333333334,0.71875,0.6744791666666666
3,0.70703125,0.7161458333333334,0.703125,0.6848958333333334
4,0.6809895833333334,0.7096354166666666,0.703125,0.66796875
5,0.6783854166666666,0.6614583333333334,0.6953125,0.7005208333333334
6,0.6744791666666666,0.6966145833333334,0.6901041666666666,0.6731770833333334
7,0.6692708333333334,0.65625,0.7278645833333334,0.6940104166666666
8,0.6783854166666666,0.69921875,0.7330729166666666,0.6822916666666666
9,0.6861979166666666,0.6953125,0.73046875,0.7200520833333334
10,0.6744791666666666,0.6731770833333334,0.7044270833333334,0.7526041666666666
11,0.67578125,0.6744791666666666,0.7356770833333334,0.7161458333333334
