layer,est_intrinsic_dim
0,1.7632758416728798
1,2.116984966780549
2,2.540016962613198
3,2.7307560411189242
4,2.816161462053578
5,2.850919765251124
6,2.803669809716797
7,2.9852670925172955
8,3.2246010180083284
9,3.4236377174000676
10,3.5139180200344393
11,3.680138077683057
12,3.811201259908498
13,3.9719372929879357
14,4.282180069121495
15,4.604655197364322
16,4.673768709278484
17,4.717056907908691
18,4.8704474877981765
19,4.914714241675838
20,4.943167557347195
21,4.923042054203198
22,4.649482176770596
23,4.357956107483108
24,4.061351487169632
25,3.926742281454374
26,3.8464063936189294
27,3.7211431816790124
28,3.6194219648615418
29,3.5260183235628624
30,3.4632882393889974
31,3.3725655165283315
32,3.3647230230720617
33,3.3737396272738565
34,3.3954193409340583
35,3.4847116792884925
